B_loc(T)	f(B_loc)
File: FieldSweep 6.90K.txt
lambda = 1.748e+04
1.00000000e-06	2.74752041e+01
1.17656765e-02	4.18926050e+01
2.35303529e-02	3.01943995e+01
3.52950294e-02	1.69071458e+01
4.70597059e-02	1.12178462e+01
5.88243824e-02	1.24306165e+01
7.05890588e-02	1.66633517e+01
8.23537353e-02	2.05309299e+01
9.41184118e-02	2.19563662e+01
1.05883088e-01	2.02535220e+01
1.17647765e-01	1.63171691e+01
1.29412441e-01	1.14594534e+01
1.41177118e-01	6.87336145e+00
1.52941794e-01	3.30362196e+00
1.64706471e-01	1.06264283e+00
1.76471147e-01	1.09496691e-01
1.88235824e-01	1.88058549e-14
2.00000500e-01	9.92988007e-14
2.11765176e-01	1.38308999e-10
2.23529853e-01	2.83802337e-21
2.35294529e-01	1.71422367e-12
2.47059206e-01	7.49437627e-14
2.58823882e-01	3.67589849e-12
2.70588559e-01	3.17425052e-13
2.82353235e-01	2.19370339e-13
2.94117912e-01	8.33459125e-14
3.05882588e-01	4.79561878e-11
3.17647265e-01	1.73777280e-16
3.29411941e-01	2.55344765e-12
3.41176618e-01	4.63557765e-15
3.52941294e-01	3.89681843e-14
3.64705971e-01	1.00120449e-13
3.76470647e-01	1.44529546e-13
3.88235324e-01	1.16837537e-13
4.00000000e-01	6.25033835e-14
